agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,Booking--42,C0,1,booking.com,578,50,44,0,0,0,success,54.5,0
browser-use,Booking--43,C0,1,booking.com,139,30,30,0,0,0,success,82.8,0
browser-use,Booking--5,C0,1,booking.com,0,0,0,0,0,0,,,
browser-use,Booking--6,C0,1,booking.com,623,44,37,0,0,0,success,46.1,0
browser-use,Booking--7,C0,1,booking.com,802,50,43,0,0,0,success,51.7,0
browser-use,Booking--8,C0,1,booking.com,799,48,41,0,0,0,success,66.2,0
browser-use,Booking--9,C0,1,booking.com,310,40,35,0,0,0,success,46.2,0
browser-use,Cambridge_Dictionary--0,C0,1,cambridge.org,295,73,72,0,0,0,success,33.4,0
browser-use,Cambridge_Dictionary--1,C0,1,cambridge.org,831,106,106,0,0,0,success,34.6,0
browser-use,Cambridge_Dictionary--10,C0,1,cambridge.org,395,37,37,0,0,0,success,46.6,0
browser-use,Cambridge_Dictionary--11,C0,1,cambridge.org,1144,155,155,0,0,0,success,37.9,0
browser-use,Cambridge_Dictionary--12,C0,1,cambridge.org,337,78,77,0,0,0,success,57.5,0
browser-use,Cambridge_Dictionary--13,C0,1,cambridge.org,303,76,75,0,0,0,success,47.0,0
browser-use,Cambridge_Dictionary--14,C0,1,cambridge.org,243,74,73,0,0,0,success,35.4,0
browser-use,Cambridge_Dictionary--15,C0,1,cambridge.org,693,23,23,0,0,0,success,47.4,0
browser-use,Cambridge_Dictionary--16,C0,1,cambridge.org,222,73,72,0,0,0,success,45.2,0
browser-use,Cambridge_Dictionary--17,C0,1,cambridge.org,325,73,72,0,0,0,success,51.9,0
browser-use,Cambridge_Dictionary--18,C0,1,cambridge.org,350,76,75,0,0,0,success,29.2,0
browser-use,Cambridge_Dictionary--19,C0,1,cambridge.org,316,76,75,0,0,0,success,37.4,0
browser-use,Cambridge_Dictionary--2,C0,1,cambridge.org,660,54,53,0,0,0,success,35.7,0
browser-use,Cambridge_Dictionary--20,C0,1,cambridge.org,338,78,77,0,0,0,success,34.9,0
browser-use,Cambridge_Dictionary--21,C0,1,cambridge.org,437,121,120,0,0,0,success,30.1,0
browser-use,Cambridge_Dictionary--22,C0,1,cambridge.org,310,78,77,0,0,0,success,54.4,0
browser-use,Cambridge_Dictionary--23,C0,1,cambridge.org,480,78,77,0,0,0,success,33.6,0
browser-use,Cambridge_Dictionary--24,C0,1,cambridge.org,335,75,74,0,0,0,success,59.4,0
browser-use,Cambridge_Dictionary--25,C0,1,cambridge.org,811,82,81,0,0,0,success,38.0,0
browser-use,Cambridge_Dictionary--26,C0,1,cambridge.org,417,123,122,0,0,0,success,35.3,0
browser-use,Cambridge_Dictionary--27,C0,1,cambridge.org,298,76,75,0,0,0,success,43.7,0
browser-use,Cambridge_Dictionary--28,C0,1,cambridge.org,170,79,78,0,0,0,success,17.8,0
browser-use,Cambridge_Dictionary--29,C0,1,cambridge.org,337,78,77,0,0,0,success,60.0,0
browser-use,Cambridge_Dictionary--3,C0,1,cambridge.org,1161,162,162,0,0,0,success,40.8,0
browser-use,Cambridge_Dictionary--30,C0,1,cambridge.org,330,77,76,0,0,0,success,37.9,0
browser-use,Cambridge_Dictionary--31,C0,1,cambridge.org,279,80,79,0,0,0,success,51.6,0
browser-use,Cambridge_Dictionary--32,C0,1,cambridge.org,476,77,76,0,0,0,success,37.4,0
browser-use,Cambridge_Dictionary--33,C0,1,cambridge.org,320,79,78,0,0,0,success,58.2,0
browser-use,Cambridge_Dictionary--34,C0,1,cambridge.org,312,76,75,0,0,0,success,27.3,0
browser-use,Cambridge_Dictionary--35,C0,1,cambridge.org,281,68,67,0,0,0,success,64.2,0
browser-use,Cambridge_Dictionary--36,C0,1,cambridge.org,607,81,80,0,0,0,success,44.1,0
browser-use,Cambridge_Dictionary--37,C0,1,cambridge.org,291,73,72,0,0,0,success,53.3,0
browser-use,Cambridge_Dictionary--38,C0,1,cambridge.org,280,76,75,0,0,0,success,44.2,0
browser-use,Cambridge_Dictionary--39,C0,1,cambridge.org,858,70,70,0,0,0,success,44.1,0
browser-use,Cambridge_Dictionary--4,C0,1,cambridge.org,222,73,72,0,0,0,success,46.9,0
browser-use,Cambridge_Dictionary--40,C0,1,cambridge.org,704,29,28,0,0,0,success,40.7,0
browser-use,Cambridge_Dictionary--41,C0,1,cambridge.org,933,140,139,0,0,0,success,59.4,0
browser-use,Cambridge_Dictionary--42,C0,1,cambridge.org,356,108,107,0,0,0,success,43.9,0
browser-use,Cambridge_Dictionary--5,C0,1,cambridge.org,873,179,179,0,0,0,success,53.8,0
browser-use,Cambridge_Dictionary--6,C0,1,cambridge.org,270,76,75,0,0,0,success,48.4,0
browser-use,Cambridge_Dictionary--7,C0,1,cambridge.org,677,82,81,0,0,0,success,54.8,0
browser-use,Cambridge_Dictionary--8,C0,1,cambridge.org,371,78,77,0,0,0,success,62.7,0
